idx,predict label,golden label
0,tensor(1),0
1,tensor(0),0
2,tensor(1),0
3,tensor(1),0
4,tensor(2),0
5,tensor(4),0
6,tensor(1),0
7,tensor(1),0
8,tensor(0),0
9,tensor(0),0
10,tensor(1),0
11,tensor(0),0
12,tensor(0),0
13,tensor(0),0
14,tensor(2),0
15,tensor(0),0
16,tensor(3),0
17,tensor(1),0
18,tensor(2),0
19,tensor(0),0
20,tensor(0),0
21,tensor(0),0
22,tensor(0),0
23,tensor(0),0
24,tensor(0),0
25,tensor(1),0
26,tensor(0),0
27,tensor(1),0
28,tensor(0),0
29,tensor(0),0
30,tensor(0),0
31,tensor(1),0
32,tensor(1),0
33,tensor(0),0
34,tensor(3),0
35,tensor(0),0
36,tensor(2),0
37,tensor(0),0
38,tensor(4),0
39,tensor(1),0
40,tensor(0),0
41,tensor(0),0
42,tensor(1),0
43,tensor(0),0
44,tensor(0),0
45,tensor(1),0
46,tensor(0),0
47,tensor(0),0
48,tensor(0),0
49,tensor(0),0
50,tensor(1),0
51,tensor(1),0
52,tensor(1),0
53,tensor(1),0
54,tensor(0),0
55,tensor(0),0
56,tensor(0),0
57,tensor(4),0
58,tensor(0),0
59,tensor(1),0
60,tensor(0),0
61,tensor(0),0
62,tensor(0),0
63,tensor(0),0
64,tensor(0),0
65,tensor(0),0
66,tensor(1),0
67,tensor(0),0
68,tensor(1),0
69,tensor(0),0
70,tensor(0),0
71,tensor(0),0
72,tensor(1),0
73,tensor(0),0
74,tensor(1),0
75,tensor(0),0
76,tensor(1),0
77,tensor(0),0
78,tensor(0),0
79,tensor(0),0
80,tensor(0),0
81,tensor(1),0
82,tensor(0),0
83,tensor(0),0
84,tensor(0),0
85,tensor(0),0
86,tensor(0),0
87,tensor(0),0
88,tensor(1),0
89,tensor(0),0
90,tensor(1),0
91,tensor(0),0
92,tensor(4),0
93,tensor(1),0
94,tensor(1),0
95,tensor(0),0
96,tensor(0),0
97,tensor(1),0
98,tensor(0),0
99,tensor(1),0
100,tensor(1),0
101,tensor(4),0
102,tensor(1),0
103,tensor(0),0
104,tensor(4),0
105,tensor(0),0
106,tensor(0),0
107,tensor(1),0
108,tensor(1),0
109,tensor(0),0
110,tensor(0),0
111,tensor(0),0
112,tensor(0),0
113,tensor(0),0
114,tensor(0),0
115,tensor(0),0
116,tensor(0),0
117,tensor(0),0
118,tensor(1),0
119,tensor(0),0
120,tensor(0),0
121,tensor(0),0
122,tensor(0),0
123,tensor(3),0
124,tensor(3),0
125,tensor(0),0
126,tensor(1),0
127,tensor(4),0
128,tensor(2),0
129,tensor(0),0
130,tensor(0),0
131,tensor(0),0
132,tensor(0),0
133,tensor(0),0
134,tensor(0),0
135,tensor(0),0
136,tensor(0),0
137,tensor(2),0
138,tensor(0),0
139,tensor(0),0
140,tensor(0),0
141,tensor(0),0
142,tensor(1),0
143,tensor(0),0
144,tensor(0),0
145,tensor(0),0
146,tensor(0),0
147,tensor(0),0
148,tensor(0),0
149,tensor(0),0
150,tensor(0),0
151,tensor(4),0
152,tensor(0),0
153,tensor(0),0
154,tensor(1),0
155,tensor(0),0
156,tensor(0),0
157,tensor(1),0
158,tensor(0),0
159,tensor(0),0
160,tensor(1),0
161,tensor(0),0
162,tensor(0),0
163,tensor(0),0
164,tensor(1),0
165,tensor(0),0
166,tensor(1),0
167,tensor(0),0
168,tensor(1),0
169,tensor(1),0
170,tensor(1),0
171,tensor(0),0
172,tensor(1),0
173,tensor(0),0
174,tensor(0),0
175,tensor(0),0
176,tensor(0),0
177,tensor(0),0
178,tensor(0),0
179,tensor(1),0
180,tensor(2),0
181,tensor(0),0
182,tensor(0),0
183,tensor(0),0
184,tensor(1),0
185,tensor(0),0
186,tensor(0),0
187,tensor(3),0
188,tensor(0),0
189,tensor(0),0
190,tensor(0),0
191,tensor(0),0
192,tensor(1),0
193,tensor(0),0
194,tensor(2),0
195,tensor(0),0
196,tensor(4),0
197,tensor(0),0
198,tensor(2),0
199,tensor(4),0
200,tensor(0),0
201,tensor(1),0
202,tensor(0),0
203,tensor(0),0
204,tensor(1),0
205,tensor(0),0
206,tensor(0),0
207,tensor(1),0
208,tensor(0),0
209,tensor(0),0
210,tensor(1),0
211,tensor(0),0
212,tensor(0),0
213,tensor(0),0
214,tensor(0),0
215,tensor(1),0
216,tensor(1),0
217,tensor(1),0
218,tensor(2),0
219,tensor(4),0
220,tensor(0),0
221,tensor(1),0
222,tensor(1),0
223,tensor(0),0
224,tensor(0),0
225,tensor(0),0
226,tensor(0),0
227,tensor(0),0
228,tensor(1),0
229,tensor(0),0
230,tensor(0),0
231,tensor(0),0
232,tensor(0),0
233,tensor(0),0
234,tensor(0),0
235,tensor(1),0
236,tensor(0),0
237,tensor(2),0
238,tensor(0),0
239,tensor(0),0
240,tensor(0),0
241,tensor(0),0
242,tensor(0),0
243,tensor(1),0
244,tensor(0),0
245,tensor(0),0
246,tensor(1),0
247,tensor(0),0
248,tensor(0),0
249,tensor(0),0
250,tensor(0),0
251,tensor(0),0
252,tensor(1),0
253,tensor(0),0
254,tensor(0),0
255,tensor(0),0
256,tensor(2),0
257,tensor(0),0
258,tensor(0),0
259,tensor(0),0
260,tensor(1),0
261,tensor(1),0
262,tensor(0),0
263,tensor(0),0
264,tensor(0),0
265,tensor(0),0
266,tensor(0),0
267,tensor(1),0
268,tensor(0),0
269,tensor(2),0
270,tensor(0),0
271,tensor(1),0
272,tensor(0),0
273,tensor(0),0
274,tensor(1),0
275,tensor(0),0
276,tensor(1),0
277,tensor(0),0
278,tensor(0),0
279,tensor(0),0
280,tensor(0),0
281,tensor(1),0
282,tensor(0),0
283,tensor(1),0
284,tensor(0),0
285,tensor(0),0
286,tensor(0),0
287,tensor(0),0
288,tensor(1),0
289,tensor(3),0
290,tensor(0),0
291,tensor(1),0
292,tensor(4),0
293,tensor(0),0
294,tensor(3),0
295,tensor(0),0
296,tensor(2),0
297,tensor(4),0
298,tensor(0),0
299,tensor(1),0
300,tensor(2),0
301,tensor(0),0
302,tensor(0),0
303,tensor(0),0
304,tensor(1),0
305,tensor(0),0
306,tensor(0),0
307,tensor(0),0
308,tensor(1),0
309,tensor(0),0
310,tensor(1),0
311,tensor(0),0
312,tensor(0),0
313,tensor(4),0
314,tensor(0),0
315,tensor(1),0
316,tensor(2),0
317,tensor(0),0
318,tensor(1),0
319,tensor(0),0
320,tensor(1),1
321,tensor(0),1
322,tensor(1),1
323,tensor(2),1
324,tensor(2),1
325,tensor(0),1
326,tensor(0),1
327,tensor(1),1
328,tensor(0),1
329,tensor(1),1
330,tensor(1),1
331,tensor(1),1
332,tensor(3),1
333,tensor(0),1
334,tensor(1),1
335,tensor(3),1
336,tensor(3),1
337,tensor(4),1
338,tensor(0),1
339,tensor(4),1
340,tensor(0),1
341,tensor(1),1
342,tensor(1),1
343,tensor(1),1
344,tensor(1),1
345,tensor(0),1
346,tensor(0),1
347,tensor(0),1
348,tensor(3),1
349,tensor(1),1
350,tensor(2),1
351,tensor(0),1
352,tensor(0),1
353,tensor(1),1
354,tensor(1),1
355,tensor(1),1
356,tensor(0),1
357,tensor(1),1
358,tensor(1),1
359,tensor(1),1
360,tensor(1),1
361,tensor(0),1
362,tensor(2),1
363,tensor(1),1
364,tensor(3),1
365,tensor(0),1
366,tensor(2),1
367,tensor(1),1
368,tensor(0),1
369,tensor(1),1
370,tensor(1),1
371,tensor(3),1
372,tensor(0),1
373,tensor(3),1
374,tensor(3),1
375,tensor(3),1
376,tensor(2),1
377,tensor(1),1
378,tensor(3),1
379,tensor(1),1
380,tensor(1),1
381,tensor(1),1
382,tensor(1),1
383,tensor(0),1
384,tensor(2),1
385,tensor(2),1
386,tensor(0),1
387,tensor(1),1
388,tensor(0),1
389,tensor(2),1
390,tensor(0),1
391,tensor(2),1
392,tensor(1),1
393,tensor(3),1
394,tensor(0),1
395,tensor(2),1
396,tensor(0),1
397,tensor(1),1
398,tensor(1),1
399,tensor(1),1
400,tensor(3),1
401,tensor(2),1
402,tensor(3),1
403,tensor(2),1
404,tensor(1),1
405,tensor(1),1
406,tensor(1),1
407,tensor(0),1
408,tensor(1),1
409,tensor(2),1
410,tensor(1),1
411,tensor(1),1
412,tensor(1),1
413,tensor(2),1
414,tensor(1),1
415,tensor(1),1
416,tensor(1),1
417,tensor(2),1
418,tensor(1),1
419,tensor(2),1
420,tensor(1),1
421,tensor(2),1
422,tensor(2),1
423,tensor(1),1
424,tensor(1),1
425,tensor(1),1
426,tensor(1),1
427,tensor(0),1
428,tensor(0),1
429,tensor(3),1
430,tensor(3),1
431,tensor(1),1
432,tensor(2),1
433,tensor(0),1
434,tensor(1),1
435,tensor(3),1
436,tensor(1),1
437,tensor(2),1
438,tensor(4),1
439,tensor(1),1
440,tensor(1),1
441,tensor(1),1
442,tensor(0),1
443,tensor(3),1
444,tensor(0),1
445,tensor(1),1
446,tensor(3),1
447,tensor(1),1
448,tensor(2),1
449,tensor(0),1
450,tensor(1),1
451,tensor(1),1
452,tensor(1),1
453,tensor(1),1
454,tensor(0),1
455,tensor(2),1
456,tensor(0),1
457,tensor(1),1
458,tensor(2),1
459,tensor(0),1
460,tensor(2),1
461,tensor(1),1
462,tensor(2),1
463,tensor(1),1
464,tensor(2),1
465,tensor(1),1
466,tensor(1),1
467,tensor(0),1
468,tensor(1),1
469,tensor(2),1
470,tensor(0),1
471,tensor(1),1
472,tensor(0),1
473,tensor(1),1
474,tensor(2),1
475,tensor(1),1
476,tensor(1),1
477,tensor(2),1
478,tensor(2),1
479,tensor(2),1
480,tensor(0),1
481,tensor(3),1
482,tensor(1),1
483,tensor(0),1
484,tensor(1),1
485,tensor(2),1
486,tensor(1),1
487,tensor(1),1
488,tensor(2),1
489,tensor(0),1
490,tensor(1),1
491,tensor(1),1
492,tensor(1),1
493,tensor(2),1
494,tensor(1),1
495,tensor(0),1
496,tensor(1),1
497,tensor(2),1
498,tensor(1),1
499,tensor(1),1
500,tensor(3),1
501,tensor(1),1
502,tensor(4),1
503,tensor(1),1
504,tensor(2),1
505,tensor(2),1
506,tensor(1),1
507,tensor(2),1
508,tensor(1),1
509,tensor(0),1
510,tensor(3),1
511,tensor(0),1
512,tensor(1),1
513,tensor(3),1
514,tensor(1),1
515,tensor(0),1
516,tensor(1),1
517,tensor(3),1
518,tensor(0),1
519,tensor(1),1
520,tensor(0),1
521,tensor(0),1
522,tensor(0),1
523,tensor(1),1
524,tensor(3),1
525,tensor(2),1
526,tensor(1),1
527,tensor(3),1
528,tensor(2),1
529,tensor(1),1
530,tensor(0),1
531,tensor(1),1
532,tensor(0),1
533,tensor(1),1
534,tensor(1),1
535,tensor(0),1
536,tensor(3),1
537,tensor(0),1
538,tensor(1),1
539,tensor(2),1
540,tensor(3),1
541,tensor(1),1
542,tensor(1),1
543,tensor(4),1
544,tensor(3),1
545,tensor(0),1
546,tensor(1),1
547,tensor(1),1
548,tensor(2),1
549,tensor(1),1
550,tensor(0),1
551,tensor(0),1
552,tensor(2),1
553,tensor(1),1
554,tensor(1),1
555,tensor(3),1
556,tensor(1),1
557,tensor(3),1
558,tensor(1),1
559,tensor(0),1
560,tensor(0),1
561,tensor(3),1
562,tensor(0),1
563,tensor(0),1
564,tensor(0),1
565,tensor(0),1
566,tensor(0),1
567,tensor(3),1
568,tensor(0),1
569,tensor(0),1
570,tensor(1),1
571,tensor(2),1
572,tensor(1),1
573,tensor(1),1
574,tensor(1),1
575,tensor(2),1
576,tensor(1),1
577,tensor(0),1
578,tensor(0),1
579,tensor(1),1
580,tensor(0),1
581,tensor(0),1
582,tensor(4),1
583,tensor(3),1
584,tensor(0),1
585,tensor(0),1
586,tensor(1),1
587,tensor(0),1
588,tensor(1),1
589,tensor(1),1
590,tensor(0),1
591,tensor(2),1
592,tensor(1),1
593,tensor(0),1
594,tensor(1),1
595,tensor(1),1
596,tensor(1),1
597,tensor(0),1
598,tensor(1),1
599,tensor(3),1
600,tensor(0),1
601,tensor(2),1
602,tensor(0),1
603,tensor(3),1
604,tensor(0),1
605,tensor(1),1
606,tensor(0),1
607,tensor(2),1
608,tensor(0),1
609,tensor(1),1
610,tensor(4),1
611,tensor(0),1
612,tensor(4),1
613,tensor(1),1
614,tensor(0),1
615,tensor(0),1
616,tensor(1),1
617,tensor(2),1
618,tensor(1),1
619,tensor(1),1
620,tensor(0),1
621,tensor(1),1
622,tensor(2),1
623,tensor(4),1
624,tensor(1),1
625,tensor(0),1
626,tensor(0),1
627,tensor(0),1
628,tensor(1),1
629,tensor(0),1
630,tensor(0),1
631,tensor(3),1
632,tensor(0),1
633,tensor(1),1
634,tensor(1),1
635,tensor(3),1
636,tensor(0),1
637,tensor(1),1
638,tensor(0),1
639,tensor(0),1
640,tensor(2),2
641,tensor(3),2
642,tensor(3),2
643,tensor(2),2
644,tensor(2),2
645,tensor(1),2
646,tensor(2),2
647,tensor(4),2
648,tensor(3),2
649,tensor(1),2
650,tensor(2),2
